"[run number]","orange-yield","turtle-speed","violet-merge-behind","[step]","total-time"
"2","false","1","true","876","10000"
"7","false","1","true","857","10000"
"5","false","1","true","842","10000"
"14","false","1","true","892","10000"
"15","false","1","true","925","10000"
"4","false","1","true","946","10000"
"10","false","1","true","1028","1028"
"11","false","1","true","849","10000"
"3","false","1","true","1074","1074"
"1","false","1","true","1101","1101"
"9","false","1","true","1118","1118"
"12","false","1","true","1056","1056"
"8","false","1","true","1044","1044"
"13","false","1","true","1053","1053"
"6","false","1","true","1038","1038"
"18","false","1","true","913","10000"
"17","false","1","true","847","10000"
"19","false","1","true","1045","1045"
"16","false","1","true","1099","1099"
"20","false","1","true","1038","1038"
"22","false","1","true","1096","1096"
"24","false","1","true","1087","1087"
"25","false","1","true","1060","1060"
"27","false","1","true","1008","1008"
"21","false","1","true","1125","1125"
"23","false","1","true","1035","1035"
"26","false","1","true","1110","1110"
"29","false","1","true","882","10000"
"28","false","1","true","1063","1063"
"38","false","1","true","836","10000"
"30","false","1","true","1062","1062"
"36","false","1","true","866","10000"
"31","false","1","true","1101","1101"
"34","false","1","true","1089","1089"
"32","false","1","true","1023","1023"
"39","false","1","true","855","10000"
"37","false","1","true","1069","1069"
"33","false","1","true","1005","1005"
"41","false","1","true","1053","1053"
"42","false","1","true","1055","1055"
"35","false","1","true","1119","1119"
"40","false","1","true","1048","1048"
"44","false","1","true","1115","1115"
"43","false","1","true","1031","1031"
"46","false","1","true","908","10000"
"45","false","1","true","1075","1075"
"47","false","1","true","1119","1119"
"55","false","1","true","854","10000"
"51","false","1","true","1013","1013"
"54","false","1","true","1031","1031"
"50","false","1","true","928","10000"
"57","false","1","true","874","10000"
"48","false","1","true","1058","1058"
"49","false","1","true","1092","1092"
"56","false","1","true","1040","1040"
"52","false","1","true","1054","1054"
"53","false","1","true","1099","1099"
"59","false","1","true","920","10000"
"58","false","1","true","1055","1055"
"62","false","1","true","861","10000"
"61","false","1","true","851","10000"
"60","false","1","true","1069","1069"
"63","false","1","true","1021","1021"
"69","false","1","true","1083","1083"
"71","false","1","true","1047","1047"
"64","false","1","true","1090","1090"
"66","false","1","true","1020","1020"
"70","false","1","true","1083","1083"
"65","false","1","true","884","10000"
"67","false","1","true","1042","1042"
"68","false","1","true","1119","1119"
"75","false","1","true","846","10000"
"72","false","1","true","1088","1088"
"73","false","1","true","1085","1085"
"74","false","1","true","901","10000"
"80","false","1","true","849","10000"
"76","false","1","true","1124","1124"
"79","false","1","true","1116","1116"
"83","false","1","true","1059","1059"
"78","false","1","true","1111","1111"
"84","false","1","true","900","10000"
"88","false","1","true","839","10000"
"82","false","1","true","1045","1045"
"86","false","1","true","1125","1125"
"81","false","1","true","1120","1120"
"85","false","1","true","1021","1021"
"87","false","1","true","1022","1022"
"77","false","1","true","841","10000"
"90","false","1","true","1049","1049"
"89","false","1","true","1026","1026"
"94","false","1","true","940","10000"
"93","false","1","true","1007","1007"
"92","false","1","true","1029","1029"
"96","false","1","true","1053","1053"
"95","false","1","true","1040","1040"
"91","false","1","true","1080","1080"
"98","false","1","true","1112","1112"
"99","false","1","true","1041","1041"
"97","false","1","true","1058","1058"
"100","false","1","true","1078","1078"
