"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"simulation.nlogo"
"Y, LCB"
"05/25/2024 12:07:53:922 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","20","-8","8"
"[run number]","orange-yield","turtle-speed","violet-merge-behind","[step]","total-time"
"1","true","1","true","849","10000"
"13","true","1","true","847","10000"
"15","true","1","true","845","10000"
"5","true","1","true","857","10000"
"4","true","1","true","847","10000"
"8","true","1","true","871","10000"
"14","true","1","true","858","10000"
"11","true","1","true","911","10000"
"9","true","1","true","859","10000"
"10","true","1","true","855","10000"
"3","true","1","true","951","10000"
"6","true","1","true","918","10000"
"12","true","1","true","936","10000"
"7","true","1","true","890","10000"
"2","true","1","true","912","10000"
"17","true","1","true","849","10000"
"16","true","1","true","938","10000"
"21","true","1","true","851","10000"
"22","true","1","true","861","10000"
"18","true","1","true","936","10000"
"24","true","1","true","898","10000"
"23","true","1","true","931","10000"
"28","true","1","true","900","10000"
"20","true","1","true","945","10000"
"25","true","1","true","952","10000"
"26","true","1","true","915","10000"
"29","true","1","true","871","10000"
"27","true","1","true","906","10000"
"19","true","1","true","861","10000"
"30","true","1","true","917","10000"
"39","true","1","true","847","10000"
"33","true","1","true","940","10000"
"38","true","1","true","848","10000"
"34","true","1","true","850","10000"
"35","true","1","true","867","10000"
"31","true","1","true","894","10000"
"36","true","1","true","869","10000"
"43","true","1","true","839","10000"
"40","true","1","true","898","10000"
"41","true","1","true","883","10000"
"37","true","1","true","942","10000"
"32","true","1","true","945","10000"
"44","true","1","true","857","10000"
"42","true","1","true","913","10000"
"49","true","1","true","870","10000"
"46","true","1","true","840","10000"
"48","true","1","true","930","10000"
"50","true","1","true","874","10000"
"54","true","1","true","874","10000"
"47","true","1","true","949","10000"
"51","true","1","true","935","10000"
"55","true","1","true","887","10000"
"52","true","1","true","917","10000"
"56","true","1","true","941","10000"
"57","true","1","true","841","10000"
"62","true","1","true","879","10000"
"59","true","1","true","940","10000"
"60","true","1","true","930","10000"
"61","true","1","true","852","10000"
"58","true","1","true","876","10000"
"64","true","1","true","918","10000"
"53","true","1","true","945","10000"
"63","true","1","true","854","10000"
"45","true","1","true","952","10000"
"67","true","1","true","884","10000"
"66","true","1","true","899","10000"
"68","true","1","true","933","10000"
"65","true","1","true","869","10000"
"71","true","1","true","902","10000"
"74","true","1","true","908","10000"
"73","true","1","true","943","10000"
"76","true","1","true","906","10000"
"72","true","1","true","896","10000"
"75","true","1","true","837","10000"
"79","true","1","true","860","10000"
"80","true","1","true","892","10000"
"78","true","1","true","929","10000"
"70","true","1","true","933","10000"
"81","true","1","true","938","10000"
"82","true","1","true","846","10000"
"77","true","1","true","873","10000"
"69","true","1","true","928","10000"
"83","true","1","true","859","10000"
"84","true","1","true","945","10000"
"85","true","1","true","898","10000"
"87","true","1","true","891","10000"
"89","true","1","true","945","10000"
"95","true","1","true","916","10000"
"97","true","1","true","868","10000"
"93","true","1","true","844","10000"
"91","true","1","true","916","10000"
"98","true","1","true","851","10000"
"96","true","1","true","862","10000"
"92","true","1","true","842","10000"
"88","true","1","true","879","10000"
"99","true","1","true","879","10000"
"86","true","1","true","858","10000"
"100","true","1","true","865","10000"
"90","true","1","true","842","10000"
"94","true","1","true","930","10000"
